epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3673,1.27616,2.78009,1.2759,0.006,1,0.63093,0.35974,1.01447,2.6859,0.98332,6e-05,6e-05,6e-05
2,90.6181,1.14427,2.41287,1.181,0.006,1,0.97233,0.61801,0.99392,2.61112,0.94918,0.000138614,0.000138614,0.000138614
3,135.266,1.15553,1.68837,1.17302,0.006,1,0.9844,0.62281,1.06798,2.42134,0.96602,0.000215644,0.000215644,0.000215644
4,181.183,1.10089,1.25443,1.09835,1,0.26411,0.97709,0.56904,1.18985,2.33365,1.04173,0.00029109,0.00029109,0.00029109
5,227.305,1.11579,1.21418,1.13278,1,0.26435,0.95006,0.52964,1.26437,2.33661,1.09637,0.000364952,0.000364952,0.000364952
6,272.95,1.06275,1.23996,1.07208,1,0.44006,0.94651,0.50611,1.2629,2.25427,1.13142,0.00043723,0.00043723,0.00043723
7,317.334,1.08735,1.17912,1.11158,1,0.63444,0.93452,0.49327,1.31893,2.1155,1.21335,0.000507924,0.000507924,0.000507924
8,362.17,0.99447,1.05359,1.08254,0.99017,0.77778,0.93142,0.52147,1.22374,2.05948,1.19415,0.000577034,0.000577034,0.000577034
9,407.486,1.10254,1.16488,1.11844,0.91682,0.81654,0.92576,0.52162,1.27099,1.97091,1.19285,0.00064456,0.00064456,0.00064456
10,452.814,1.04009,1.17092,1.14459,0.93228,0.51852,0.84157,0.50097,1.26303,2.1146,1.24745,0.000710502,0.000710502,0.000710502
11,497.31,0.98184,1.10226,1.10732,0.79302,0.42635,0.63868,0.36292,1.22774,2.35653,1.20134,0.00077486,0.00077486,0.00077486
12,542.775,1.14759,1.25852,1.19245,0.71962,0.47557,0.63033,0.30837,1.33802,2.42809,1.2301,0.000837634,0.000837634,0.000837634
13,587.43,1.11995,1.09894,1.18908,1,0.49809,0.84596,0.48685,1.32908,2.28594,1.2396,0.000898824,0.000898824,0.000898824
14,632.371,1.13251,1.10644,1.1459,0.89721,0.51852,0.80703,0.49489,1.34426,2.20057,1.29048,0.00095843,0.00095843,0.00095843
15,678.049,1.06048,1.00252,1.15493,0.95141,0.72562,0.92415,0.5491,1.34555,1.82111,1.29294,0.00101645,0.00101645,0.00101645
